ID;JPtitle;ENtitle;JPdesc;ENdesc
B4;南西諸島沖に出撃せよ！;남서제도 앞바다 출격;南西諸島沖に艦隊を出撃させ、敵艦隊と交戦せよ！;1-2 해역에서 승패와 관계 없이 전투 1회 수행
B5;接近する「敵前衛艦隊」を迎撃せよ！;접근하는 적 전위함대 요격;南西諸島沖に接近する「敵前衛艦隊」を捕捉、これを撃滅せよ！;1-2 해역 보스전에서 1회 승리
B6;「水雷戦隊」で出撃せよ！;수뢰전대 출격;軽巡洋艦1隻を旗艦とし、複数の駆逐艦からなる水雷戦隊で出撃せよ！;기함을 경순양함으로 배치 후 구축함 2~5대를 포함, 승패와 관계없이 전투 1회 수행
B7;「重巡洋艦」を出撃させよ！;중순양함 출격;重巡洋艦を旗艦とした艦隊を編成、これを出撃させよ！;기함을 중순양함으로 배치, 승패와 관계 없이 전투 1회 수행
B8;「戦艦」を出撃させよ！;전함 출격;海上の覇者、戦艦を旗艦とした艦隊を編成、これを出撃させよ！;기함을 전함으로 배치, 승패와 관계 없이 전투 1회 수행
B9;「空母機動部隊」出撃せよ！;공모기동부대 출격;空母1隻とその護衛艦艇で編成した空母機動部隊を出撃させよ！;정규공모나 경공모 1척과 구축함 3대를 함대 배치 후 승패과 관계 없이 전투 1회 수행
B10;敵空母を撃沈せよ！;적 공모 격침;敵機動部隊を捕捉し、これを邀撃、敵空母を轟沈せよ！;정규공모 또는 경공모가 포함된 적 함대 격파(단, 아군 함대에 정규공모나 경공모가 있어야 아카기 입수 가능)
B11;「三川艦隊」出撃せよ！;미카와 함대 출격;新編成した「三川艦隊」で出撃せよ！;쵸우카이, 아오바, 카코, 후루타카, 텐류와 고속함 1척으로 함대 편성 후 승패와 관계 없이 전투 1회 수행
B12;「第六駆逐隊」出撃せよ！;제6구축함대 출격;「暁」「響」「雷」「電」による第六駆逐隊、出撃せよ！;아카츠키, 히비키, 이나즈마, 이카즈치 4대만으로만 구성된 함대로 승패 관계 없이 전투 1회 수행
B13;「第四戦隊」出撃せよ！;제4전대 출격;「愛宕」「高雄」「鳥海」「摩耶」を基幹とする第四戦隊で、バシー島沖の敵を撃滅せよ！;아타고, 타카오, 쵸우카이, 마야를 함대 배치 후 2-2 해역 보스전 승리 (남은 2척은 자유배치) 
B14;「西村艦隊」出撃せよ！;니시무라 함대 출격;「扶桑」「山城」「最上」「時雨」を基幹とする西村艦隊で、オリョール海の敵を撃滅せよ！;후소우, 야마시로, 모가미, 시구레를 함대 배치 후 2-3 보스전 승리 (남은 2척은 자유배치)
B15;「第五航空戦隊」出撃せよ！;제5항공전대 출격;「翔鶴」「瑞鶴」を基幹とする第五航空戦隊で、北方海域モーレイ海の敵を撃滅せよ！;쇼우카쿠, 즈이카쿠가 포함된 함대로 3-1해역의 보스전 승리 (남은 4척은 자유배치)
B16;新「三川艦隊」出撃せよ！;신 미카와 함대 출격;完全編成した「三川艦隊」をもって、オリョール海の敵を撃滅せよ！;쵸우카이, 아오바, 키누가사, 카코, 후루타카, 텐류를 함대 배치 후 2-3 해역 보스전 승리
B17;「潜水艦隊」出撃せよ！;잠수함대 출격;伊号潜水艦2隻からなる潜水艦隊でオリョール海の敵を撃滅せよ！;잠수함 2척이 포함된 함대로 2-3 해역 보스전 승리 (남은 4척 자유배치)
B18;「航空水上打撃艦隊」出撃せよ！;항공수상타격함대 출격;航空戦艦2隻と航空巡洋艦2隻を基幹とする艦隊でカレー洋の制海権を握れ！;항공전함 2척, 항공순양함 2척이 포함된 함대로 4-2 보스전 승리
B19;「第六戦隊」出撃せよ！;제6전대 출격;編成した「第六戦隊」をもって出撃し、オリョール海の敵を撃滅「完全勝利」せよ！;후루타카, 카코, 아오바, 키누가사가 포함된 함대로 2-3 해역 보스전 S랭크 승리 (남은 2척은 자유배치)
B20;「第八駆逐隊」出撃せよ！;제8구축함대 출격!;編成した「第八駆逐隊」を含む艦隊で出撃し、オリョール海の敵を撃滅せよ！;아사시오, 미치시오, 오오시오, 아라시오가 포함된 함대로 2-3 해역 보스전 승리 (남은 2척은 자유배치)
B21;「第十八駆逐隊」出撃せよ！;제18구축함대 출격!!;編成した「第十八駆逐隊」を含む艦隊で出撃し、北方海域モーレイ海の敵を撃滅せよ！;카스미, 아라레, 카게로우, 시라누이가 포함된 함대로 3-1 해역 보스전 승리 (남은 2척은 자유배치)
B22;「第三十駆逐隊(第一次)」出撃せよ！;제30구축대(1차)출격!;「第三十駆逐隊(第一次)」を含む艦隊で出撃し、キス島沖の主力艦隊と交戦せよ！;제30구축대(1차)를 포함한 함대로 3-2해역의 보스전 승리(남은 2척은 자유배치)
Bd1;敵艦隊を撃破せよ！;적 함대 격파! - 일일반복;艦隊を出撃させ、敵艦隊を捕捉、これを撃滅せよ！;당일 05:00 부터 다음날 04:59 까지 해역 상관 없이 전투 1회 승리
Bd2;敵艦隊主力を撃滅せよ！;적 함대 주력 격파! - 일일반복;艦隊を出撃させ、敵艦隊「主力」を捕捉！これを撃滅せよ！;당일 05:00 부터 다음날 04:59 까지 해역 상관 없이 전투 1회 승리
Bd3;敵艦隊を10回邀撃せよ！;적 함대 10회 요격 - 일일반복;艦隊全力出撃！遊弋する敵艦隊を10回邀撃せよ！;당일 05:00 부터 다음날 04:59 까지 해역과 승패 상관 없이 전투 10회 수행
Bd4;敵空母を３隻撃沈せよ！;적 공모 3척 격침 - 일일반복;艦隊の脅威となる敵空母群。これを捕捉撃滅し、3隻轟沈せよ！;당일 05:00 부터 다음날 04:59 까지 정규공모나 경공모 3척 격침
Bd5;敵補給艦を3隻撃沈せよ！;적 보급함 3척 격침 - 일일반복 ;艦隊を出撃させ、敵補給艦を捕捉、これを撃滅せよ！;당일 05:00 부터 다음날 04:59 까지 2-2나 2-3 해역에서 보급함 3척 격침
Bd6;敵輸送船団を叩け！;적 수송선단을 쳐라 - 일일반복;敵の輸送船5隻以上を撃沈し、敵の補給路を寸断せよ！;당일 05:00 부터 다음날 04:59 까지 2-2나 2-3 해역에서 보급함 5척 격침
Bd7;南西諸島海域の制海権を握れ！;남서제도해역 제해권 획득 - 일일반복;艦隊を南西諸島海域に全力出撃させ、多数の敵艦隊「主力」群を捕捉、撃滅せよ！;당일 05:00 부터 다음날 04:59 까지 2-1 ~ 4 해역 보스전에서 5회 승리
Bd8;敵潜水艦を制圧せよ！;적 잠수함 제압 - 일일반복;対潜能力の充実した艦隊で出撃、敵潜水艦狩りを実施せよ！;당일 05:00 부터 다음날 04:59 까지 4-1~4 해역에서 잠수함 6척 격침
Bw1;あ号作戦;아호작전 - 주간;1週間の全力出撃を行い、可能な限り多くの敵艦隊を捕捉、これを迎撃せよ！;월요일 05시부터 다음주 월요일 04:59까지 출격36회/보스전투24회/보스전투승리12회/S랭크완전승리6회 모두달성
Bw2;い号作戦;이호작전 - 주간;有力な母艦航空隊で1週間の全力出撃を行い、可能な限り多くの敵空母を撃滅せよ！;월요일 05시부터 다음주 월요일 04:59까지 정규공모(경공모가능) 20척 격침
Bw3;海上通商破壊作戦;해상통상파괴작전 - 주간;1週間で敵輸送船を20隻以上撃沈せよ！;월요일 05시부터 다음주 월요일 04:59까지 2-2나 2-3 해역에서 수송선(보급함 포함) 20척 격침
Bw4;ろ号作戦;로호작전 - 주간;1週間の全力出撃を行い、敵輸送船団を捕捉・撃滅、敵の補給路を寸断せよ！;월요일 05시부터 다음주 월요일 04:59까지 2-2나 2-3 해역에서 수송선(보급함 포함) 50척 격침)
Bw5;海上護衛戦;해상호위전 - 주간;有力な対潜能力を持つ海上護衛隊によって、可能な限り多くの敵潜水艦を撃滅せよ！;월요일 05시부터 다음주 월요일 04:59까지 4-1~4 해역에서 잠수함 15척 격침
Bw6;敵東方艦隊を撃滅せよ！;적동방함대 격멸;西方海域に出撃し、敵東方艦隊の主力を捕捉、これを撃滅せよ！;월요일 05시부터 다음주 월요일 04:59까지 4-1~4 해역에서 보스전 12회 승리
Bw7;敵北方艦隊主力を撃滅せよ！;적 북방 함대 주력격멸;北方海域の深部に出撃し、敵北方艦隊の主力艦隊を捕捉、これを撃滅せよ！;3-3 or 3-4보스전에서 5번 승리
Bw8;敵東方中枢艦隊を撃破せよ！;적 동방 중추함대 격멸;西方海域カスガダマ島沖に出撃し、敵東方中枢艦隊を捕捉、これを撃破せよ！;4-4 보스함대에게 1회 승리
Bw9;南方海域珊瑚諸島沖の制空権を握れ！;남방해역 산호섬 앞바다 제공권 장악;南方海域珊瑚諸島沖に出撃し、敵機動部隊本体を捕捉撃滅、これに完全勝利せよ！;5-2보스함대에서 2회 S승리
MB02;観音崎沖の霧の艦隊を迎撃せよ！;Intercept the Fleet of Fog off the coast of Kannonzaki!;観音崎沖海域に襲来した霧の艦隊を捕捉、これを邀撃し、敵戦力ゲージを破砕せよ！;Clear E-1 (Kannonzaki Littoral Interception Operation).
MB01;謎の潜水艦「イオナ」と接触せよ！;Contact the Mysterious Submarine Iona!;敵潜水艦を捕捉、これを複数撃滅し、謎の潜水艦「イオナ」との接触を図れ！;Sink an enemy submarine in order to contact 'Iona'.
MB03;霧の艦隊重巡「タカオ」と接触せよ！;Contact the Tsundere Cruiser Takao!;なるべく多くの敵主力艦隊を捕捉、これを多数撃滅し、「タカオ」との接触を図れ！;Defeat 4 bosses with A or S rank.
MB04;硫黄島周辺の霧の艦隊を撃破せよ！;Defeat the Fleet of Fog Surrounding Iwo Jima;硫黄島周辺海域に遊弋する霧の艦隊と交戦、これを撃滅し、敵戦力ゲージを破砕せよ！;Clear E-2 (Battle off the coast of Iwo Jima)
MB05;霧の艦隊大戦艦「ハルナ」と接触せよ！;Contact the Fleet of Fog Battleship Haruna!;敵機動部隊を捕捉、これを邀撃！敵空母を多数撃滅し、「ハルナ」との接触を図れ！;Sink 8 aircraft carriers.
MC01;対霧の艦隊「演習」を実施せよ！;MC01;対霧の艦隊演習を実施する！本日中に「演習」で4回以上「勝利」をおさめよう！;Get 4 victories in practice mode.
MD01;情報収集！ツンデレ重巡を探せ！;Intelligence Gathering! Find the Tsundere Cruiser!;艦隊を遠征させ情報収集にあたる！本日中に「遠征」を6回成功させよう！;Perform 6 successful expeditions within the same day.
C1;はじめての「演習」！;첫 연습;他の提督(プレイヤー)の艦隊と「演習」を行おう！;승패에 관계 없이 연습전투 1회 수행
C2;「演習」で練度向上！;연습으로 훈련도 향상 - 일일반복;本日中に他の司令官の艦隊に対して3回「演習」を挑もう！;당일 05:00 부터 다음날 04:59 까지 승패 관계 없이 연습 전투 3회 수행
C3;「演習」で他提督を圧倒せよ！;연습으로 다른 제독 압도;本日中に他の司令官の艦隊との「演習」で5回以上「勝利」をおさめよう！;당일 05:00 부터 다음날 04:59 까지 연습에서 B랭크 이상으로 5회 승리
C4;大規模演習;대규모연습 - 주간;今週中に「演習」で他の提督の艦隊に対して20回「勝利」しよう！;월요일 05시부터 다음주 월요일 04:59까지 연습전투에서 B랭크 20회 승리
D1;はじめての「遠征」！;첫 원정!;艦隊を「遠征」に出発させよう！;성공과 실패 관계 없이 원정 1회 수행
D2;「遠征」を３回成功させよう！;원정 3회 성공 - 일일반복;本日中に「遠征」３回成功させよう！;당일 05:00 부터 다음날 04:59 까지 원정 3번 성공
D3;「遠征」を１０回成功させよう！;원정 10회 성공 - 일일반복;本日中に「遠征」10回成功させよう！;당일 05:00 부터 다음날 04:59 까지 원정 10번 성공
D4;大規模遠征作戦、発令！;대규모 원정작전 발령 - 주간;今週中に「遠征」30回成功させよう！;월요일 05시부터 다음주 월요일 04:59까지 원정 30회 성공
D5;第一次潜水艦派遣作戦;제1차 잠수함 파견작전;はじめての潜水艦派遣作戦を成功させよう！;원정번호30번 잠수함 파견작전 성공
D6;第二次潜水艦派遣作戦;제2차 잠수함 파견작전;第2次潜水艦派遣作戦を成功させよう！;원정번호30번 잠수함 파견작전 2번째 성공
D7;潜水艦派遣作戦による技術入手の継続!;잠수함 파견 작전으로 지속적 기술획득;第3次及び第4次潜水艦派遣作戦を成功させ、他国製技術の導入に努めよ!;30번 원정을 총 2회 달성
E1;はじめての「補給」！;첫 보급;補給は大事です！燃料・弾薬を艦に「補給」しよう！;연료와 탄약을 보급
E2;はじめての「入渠」！;첫 입거;戦闘で傷ついた艦を「入渠」させて修理して、次の出撃に備えよう！;전투로 인한 상처받은 군함 1회 수리
E3;艦隊大整備！;함대 대정비 - 일일반복;各艦隊から整備が必要な艦を5隻以上ドック入りさせ、大規模な整備をしよう！;당일 05:00 부터 다음날 04:59 까지 군함 5척 수리
E4;艦隊酒保祭り！;함대 PX 축제! - 일일반복;艦隊酒保祭り！各艦に延べ15回以上の補給を実施しよう！;당일 05:00 부터 다음날 04:59 까지 15회 보급 (일괄보급은 1회로 계산되니 주의)
F1;はじめての「建造」！;첫 건조;「工廠」で鋼材などの資材を使って新しい艦を「建造」しよう！;군함 1회 건조
F2;はじめての「開発」！;첫 개발;「工廠」でボーキサイトなどの資材を使って新しい装備アイテムを「開発」しよう！;장비를 1회 개발
F3;はじめての「解体」！;첫 해체;「工廠」で不要な艦を「解体」してみよう！;종류에 관계 없이 군함 1척 해체
F4;はじめての「廃棄」！;첫 폐기;「工廠」で不要な装備アイテムを「廃棄」してみよう！;종류에 관계 없이 장비 1개 폐기
F5;新装備「開発」指令;신 장비 개발 지령 - 일일반복;「工廠」で装備アイテムを新たに「開発」しよう(失敗もOK)！;당일 05:00 부터 다음날 04:59 까지 장비 1회 개발 (실패도 포함)
F6;新造艦「建造」指令;신 조함 건조 지령 - 일일반복;「工廠」で艦娘を本日中に新たに「建造」しよう！;당일 05:00 부터 다음날 04:59 까지 군함 1회 건조
F7;装備「開発」集中強化！;장비 개발 집중강화 - 일일반복;「工廠」で装備アイテムを本日中に3回「開発」しよう(失敗もOK)！;당일 05:00 부터 다음날 04:59 까지 장비 3개 개발 (실패도 포함)
F8;艦娘「建造」艦隊強化！;칸무스메 건조 함대강화 - 일일반복;艦隊強化のため、「工廠」で艦娘を本日中に3隻「建造」しよう！;당일 05:00 부터 다음날 04:59 까지 군함 3척 건조
F9;軍縮条約対応！;군축조약 대응 - 일일반복;少し艦隊規模が大きくなりすぎました！「工廠」で不要な艦を2隻「解体」してください！;당일 05:00 부터 다음날 04:59 까지 군함 2척 해체
F10;「大型艦建造」の準備！(その弐);대형함건조 준비(제2차);大型艦建造の準備をします！「工廠」で装備アイテムを4回「廃棄」してみてください！;장비 4개 폐기
G1;はじめての「近代化改修」！;첫 근대화 개수;任意の艦を近代化改修(合成)して、強化せよ！;종류에 관계 없이 군함 1척을 근대화 개수 한다.
G2;艦の「近代化改修」を実施せよ！;군함의 근대화 개수 실시 - 일일반복;近代化改修を実施して、２回以上これを成功させよ！;당일 05:00 부터 다음날 04:59 까지 근대화 개수 2회 성공
G3;「近代化改修」を進め、戦備を整えよ！;근대화개수를 진행하여 군비를 갖춰라 - 주간;一週間の間に、近代化改修を１5回成功させよ！;월요일 05시부터 다음주 월요일 04:59까지 근대화 개수 15회 성공
G4;「大型艦建造」の準備！(その壱);대형함건조 준비(제1차);大型艦/新型艦建造のための準備を行う。任意の艦で近代化改修を4回成功させよ！;근대화 개수 4번 성공
